key,label,unit,value,lo,hi,model,k,n,frame_value,frame_lo,frame_hi,audit_only,audit_only_lo,audit_only_hi,plug,frame_model,frame_audit_only,frame_audit_only_lo,frame_audit_only_hi,source
snapshot_matches,The Sonnet v2 labels still give the audited strata (1 = yes),flag,1,,,,,,,,,,,,,,,,,scripts/audit.py
use_case_base,Use-case base the audit sampled (Sonnet v2 labels),posts,5709,,,,,,,,,,,,,,,,,estimate.json use_case_base
labels_base,Use-case base on the labels under test,posts,5709,,,,,,,,,,,,,,,,,data/classified-sonnet-v2.jsonl
estimate_base,The base the audited shares are shares of,posts,5709,,,,,,,,,,,,,,,,,estimate.json use_case_base
labels_refused,Posts the labelling model refused (left out),posts,0,,,,,,,,,,,,,,,,,data/classified-sonnet-v2.errors.jsonl
labelled,Cards the audit labelled,posts,1681,,,,,,,,,,,,,,,,,estimate.json labelled
census_unique,Cards in the census strata,posts,422,,,,,,,,,,,,,,,,,strata.json meta
batches,Label batches,count,43,,,,,,,,,,,,,,,,,strata.json meta
seed,Sampling seed,count,20260924,,,,,,,,,,,,,,,,,strata.json meta
agreement_family,"Agreement of the labels under test with the audit on family, all audited cards",rate,0.709697,,,,1193,1681,,,,,,,,,,,,scripts/audit.py agreement_by_stratum
agreement_frame_family,"Agreement of the Sonnet v2 labels with the audit on family, all audited cards",rate,0.709697,,,,1193,1681,,,,,,,,,,,,estimate.json agreement.all_labelled
agreement_tier,"Agreement of the labels under test with the audit on tier, all audited cards",rate,0.619274,,,,1041,1681,,,,,,,,,,,,scripts/audit.py agreement_by_stratum
agreement_frame_tier,"Agreement of the Sonnet v2 labels with the audit on tier, all audited cards",rate,0.619274,,,,1041,1681,,,,,,,,,,,,estimate.json agreement.all_labelled
agreement_evidence,"Agreement of the labels under test with the audit on evidence, all audited cards",rate,0.892326,,,,1500,1681,,,,,,,,,,,,scripts/audit.py agreement_by_stratum
agreement_frame_evidence,"Agreement of the Sonnet v2 labels with the audit on evidence, all audited cards",rate,0.892326,,,,1500,1681,,,,,,,,,,,,estimate.json agreement.all_labelled
agreement_baseline,"Agreement of the labels under test with the audit on baseline, all audited cards",rate,0.894706,,,,1504,1681,,,,,,,,,,,,scripts/audit.py agreement_by_stratum
agreement_frame_baseline,"Agreement of the Sonnet v2 labels with the audit on baseline, all audited cards",rate,0.894706,,,,1504,1681,,,,,,,,,,,,estimate.json agreement.all_labelled
agreement_realtime_infra,"Agreement of the labels under test with the audit on realtime_infra, all audited cards",rate,0.856038,,,,1439,1681,,,,,,,,,,,,scripts/audit.py agreement_by_stratum
