claim,topic,published,sonnet_labels,sonnet_audit,opus_labels,opus_audit,audit_only,review_verdict,opus_verdict,change
1,Comparison baselines,"81.5% none, 11.9% frontier, 3.0% small, 3.6% replacement",81.4%; 12.1%; 3.0%; 3.5%,78.2% (75.7–79.8%); 13.5% (12.8–15.3%); 4.8% (3.9–6.6%); 3.5% (2.8–5.1%),80.4%; 11.3%; 4.3%; 4.1%,80.0% (77.4–81.6%); 11.3% (10.5–13.1%); 5.0% (4.2–6.9%); 3.7% (3.0–5.4%),80.7% (76.8–84.8%); 10.3% (6.9–14.2%); 5.3% (2.9–9.9%); 3.7% (2.9–7.3%),Fails,Holds,"more supported: 4 of 4 Opus shares inside their interval, 1 of 4 for Sonnet; on the audit-only estimate 4 of 4 and 4 of 4"
2,Production with numbers,at most 1.6%; 0.9% on a re-read; 0.3% strict,"15 posts, 0.26%",0.14% (0.14–1.99%),"37 posts, 0.66%",0.14% (0.14–2.01%),,Holds with correction,Holds with correction,"less supported: inside only because the interval's top is the bound on zero misses; Opus's count is 4.6x the audit's point estimate of 8, against 1.9x for Sonnet"
3,The measurement ladder (was the bucket scheme),38% demos with no numbers; 12% hype; 23% cost-only; 1.6% materially different,"no measurement 66.0%; measured demo 33.8%; demos, no numbers (chip rule) 48.0%; claim, no number (chip rule) 1.2%; demo bucket (framing rule) 37.7%; hype, no number (framing rule) 9.6%; cost-only as described 10.6%; material test 1.6%","no measurement 67.2% (63.4–70.3%); measured demo 32.7% (29.6–36.5%); demos, no numbers (chip rule) 46.5% (41.6–51.4%); claim, no number (chip rule) 2.4% (1.2–5.3%); demo bucket (framing rule) 34.7% (29.7–40.3%); hype, no number (framing rule) 16.1% (11.9–21.5%); cost-only as described 12.5% (9.8–16.6%); material test 2.0% (1.2–4.6%)","no measurement 68.5%; measured demo 30.8%; demos, no numbers (chip rule) 47.9%; claim, no number (chip rule) 2.1%; demo bucket (framing rule) 36.5%; hype, no number (framing rule) 13.0%; cost-only as described 11.9%; material test 1.3%","no measurement 67.3% (63.5–70.5%); measured demo 32.5% (29.4–36.3%); demos, no numbers (chip rule) 46.6% (41.8–51.6%); claim, no number (chip rule) 2.5% (1.3–5.4%); demo bucket (framing rule) 35.0% (30.0–40.5%); hype, no number (framing rule) 15.8% (11.6–21.3%); cost-only as described 12.5% (9.7–16.6%); material test 2.0% (1.2–4.6%)",,"Fails (the bucket scheme, since withdrawn)",The ladder shares hold,"slightly more supported: 8 of 8 Opus figures inside, 6 of 8 for Sonnet (Sonnet's misses: the chip-rule claim share and the framing-rule hype share)"
4,"Voice, live chat and collaboration","2.8% of posts, none in production",2.7% (156 posts),3.8% (2.7–6.3%),3.7% (206 posts; 1 measured production),4.0% (2.9–6.6%); 0 in measured production,3.9% (2.7–7.9%),Holds with correction,Holds,more supported: Opus's share is near the centre of the interval; Sonnet's was at its bottom edge
5,A live loop,about a fifth; 5 to 10 percent outside games,outside games 12.6%; all 30.4%,outside games 7.8% (5.8–11.1%); all 21.7%,outside games 6.7%; all 20.6%,outside games 8.1% (6.0–11.4%); all 22.4%,outside games 8.3% (5.9–13.3%); all 22.2% (17.1–28.4%),Holds,Holds,"more supported: Opus's non-game share is inside the interval; Sonnet's was outside (on the audit-only estimate both are inside, and Opus's all-posts share is inside while Sonnet's is not)"
6,Decisions under 300 ms,about 91% of sub-300 ms posts are games,set 18.6%; games 90.8%,set 9.4% (8.0–10.9%); games 90.8% (82.2–95.5%),set 14.5%; games 87.4%,set 11.0% (9.5–12.5%); games 90.8% (82.2–95.5%),set 10.3% (8.2–14.3%); games 88.1%,Holds,Holds; the set's size does not,"about the same on the claim: the games share holds under both (Sonnet's 90.8% equals the audit's point, Opus's 87.4% is inside). On the set's size Opus's 14.5% is nearer the audit than Sonnet's 18.6%, and still outside"
7,Meta posts,"a fifth meta, benchmark or wrapper; memes and hot takes about 1% each",meta 21.1%; memes 0.25%; hot takes 0.21%,meta 14.9% (13.3–16.3%); memes 0.28%; hot takes 0.42%,meta 22.4%; memes 0.27%; hot takes 0.32%,meta 20.9% (19.4–22.2%); memes 0.29%; hot takes 0.44%,meta 20.7% (16.9–25.9%); Sonnet base 20.0% (16.1–25.2%),Fails,Holds with correction: the fifth holds on the audit-only estimate; memes and hot takes are under half a percent each,more supported: Opus's share is inside the audit-only interval and just above the same-logic one; Sonnet's is far outside the same-logic interval and inside the audit-only one
8,Attention,half of all views on 1% of posts,,top 1% (58 posts) hold 53.4% of views; 49.6% without the suspect posts,,top 1% (56 posts) hold 53.3% of views; 49.8% without the suspect posts,,Holds with correction,Holds with correction,"unchanged: a census, only the base moves (shares move by 0.5 point at most)"
9,Jev as a classifier,77% agreement; 27 of 28 at 0.99 or more,,Jev = Sonnet 76.7%; 97.5% at 0.99,,Jev = Opus 78.4%; 97.0% at 0.99,Jev = audit at 0.99: 455 of 464,Holds,Holds,unchanged
10,The claimed multiples,"median 28x cheaper, 6x faster",,"28x cheaper (126 chips), 6x faster (299 chips)",,"28x cheaper (126 chips), 6x faster (297 chips)",,Holds,Holds,unchanged medians; without the 1x chips the speed median moves from 8.5x to 8.1x
